Poll,Date,Sample,MoE,Obama (D),McCain (R),Spread
MaristMarist,11/3 - 11/3,804 LV,4.0,52,43,Obama +9
Battleground (Lake)*Battleground (Lake)*,11/2 - 11/3,800 LV,3.5,52,47,Obama +5
Battleground (Tarrance)*Battleground (Tarrance)*,11/2 - 11/3,800 LV,3.5,50,48,Obama +2
Rasmussen ReportsRasmussen Reports,11/1 - 11/3,3000 LV,2.0,52,46,Obama +6
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,11/1 - 11/3,1201 LV,2.9,54,43,Obama +11
IBD/TIPPIBD/TIPP,11/1 - 11/3,981 LV,3.2,52,44,Obama +8
FOX NewsFOX News,11/1 - 11/2,971 LV,3.0,50,43,Obama +7
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,11/1 - 11/2,1011 LV,3.1,51,43,Obama +8
GallupGallup,10/31 - 11/2,2472 LV,2.0,55,44,Obama +11
Diageo/HotlineDiageo/Hotline,10/31 - 11/2,887 LV,3.3,50,45,Obama +5
CBS NewsCBS News,10/31 - 11/2,714 LV,--,51,42,Obama +9
Ipsos/McClatchyIpsos/McClatchy,10/30 - 11/2,760 LV,3.6,53,46,Obama +7
ABC News/Wash PostABC News/Wash Post,10/30 - 11/2,2470 LV,2.5,53,44,Obama +9
CNN/Opinion ResearchCNN/Opinion Research,10/30 - 11/1,714 LV,3.5,53,46,Obama +7
Pew ResearchPew Research,10/29 - 11/1,2587 LV,2.0,52,46,Obama +6
GWU/BattlegroundGWU/Battleground,10/29 - 11/2,800 LV,3.5,50,44,Obama +6
Gallup (Traditional)*Gallup (Traditional)*,10/30 - 11/1,2503 LV,2.0,51,43,Obama +8
Gallup (Expanded)*Gallup (Expanded)*,10/30 - 11/1,2475 LV,2.0,52,43,Obama +9
MaristMarist,10/29 - 10/29,543 LV,4.5,50,43,Obama +7
FOX NewsFOX News,10/28 - 10/29,924 LV,3.0,47,44,Obama +3
CBS News/NY TimesCBS News/NY Times,10/25 - 10/29,1005 LV,--,52,41,Obama +11
Ipsos/McClatchyIpsos/McClatchy,10/23 - 10/27,831 LV,3.4,50,45,Obama +5
Rasmussen ReportsRasmussen Reports,10/24 - 10/26,3000 LV,2.0,51,46,Obama +5
Gallup (Traditional)*Gallup (Traditional)*,10/24 - 10/26,2446 LV,2.0,50,45,Obama +5
Gallup (Expanded)*Gallup (Expanded)*,10/24 - 10/26,2343 LV,2.0,53,43,Obama +10
Diageo/HotlineDiageo/Hotline,10/24 - 10/26,879 LV,3.6,50,42,Obama +8
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,10/24 - 10/26,1203 LV,2.9,50,45,Obama +5
ABC News/Wash PostABC News/Wash Post,10/23 - 10/26,1314 LV,2.5,52,45,Obama +7
Pew ResearchPew Research,10/23 - 10/26,1198 LV,3.5,53,38,Obama +15
IBD/TIPPIBD/TIPP,10/22 - 10/26,824 LV,3.5,47,44,Obama +3
GWU/BattlegroundGWU/Battleground,10/20 - 10/26,1000 LV,3.5,49,46,Obama +3
NewsweekNewsweek,10/22 - 10/23,882 LV,4.0,53,41,Obama +12
Rasmussen ReportsRasmussen Reports,10/20 - 10/22,3000 LV,2.0,52,45,Obama +7
Gallup (Traditional)*Gallup (Traditional)*,10/20 - 10/22,2399 LV,2.0,50,46,Obama +4
Gallup (Expanded)*Gallup (Expanded)*,10/20 - 10/22,2349 LV,2.0,51,45,Obama +6
Diageo/HotlineDiageo/Hotline,10/20 - 10/22,769 LV,3.5,48,43,Obama +5
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,10/20 - 10/22,1206 LV,2.9,52,40,Obama +12
ABC News/Wash PostABC News/Wash Post,10/19 - 10/22,1335 LV,2.5,54,43,Obama +11
IBD/TIPPIBD/TIPP,10/18 - 10/22,1060 LV,3.5,45,44,Obama +1
GWU/BattlegroundGWU/Battleground,10/16 - 10/22,1000 LV,3.5,49,45,Obama +4
FOX NewsFOX News,10/20 - 10/21,936 LV,3.0,49,40,Obama +9
CBS News/NY TimesCBS News/NY Times,10/19 - 10/22,771 LV,--,52,39,Obama +13
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/17 - 10/20,1159 RV,2.9,52,42,Obama +10
Associated Press/GfKAssociated Press/GfK,10/16 - 10/20,800 LV,3.5,44,43,Obama +1
Ipsos/McClatchyIpsos/McClatchy,10/16 - 10/20,773 LV,3.5,50,42,Obama +8
CNN/Opinion ResearchCNN/Opinion Research,10/17 - 10/19,764 LV,3.5,51,46,Obama +5
Pew ResearchPew Research,10/16 - 10/19,2382 LV,2.5,53,39,Obama +14
Rasmussen ReportsRasmussen Reports,10/16 - 10/18,3000 LV,2.0,51,45,Obama +6
Gallup (Traditional)*Gallup (Traditional)*,10/16 - 10/18,2590 LV,2.0,49,46,Obama +3
Gallup (Expanded)*Gallup (Expanded)*,10/16 - 10/18,2277 LV,2.0,51,44,Obama +7
Diageo/HotlineDiageo/Hotline,10/16 - 10/18,785 LV,3.5,48,41,Obama +7
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,10/16 - 10/18,1211 LV,2.9,48,45,Obama +3
Democracy Corps (D)Democracy Corps (D),10/15 - 10/19,1000 LV,--,50,46,Obama +4
GWU/BattlegroundGWU/Battleground,10/13 - 10/19,1000 LV,3.1,49,45,Obama +4
