state,total_votes,clinton,trump,other,ev
AK,318608,0.36550871290112,0.512815120775373,0.092797418771657,3
AL,2123372,0.343579457579736,0.620830923644091,0.02536437327044,9
AR,1130635,0.336531241293609,0.605741021638283,0.057727737068108,6
AZ,2573165,0.451260218446932,0.48671616472321,0.054668861110733,11
CA,14181595,0.617263996045579,0.316171065384394,0.058051157151223,55
CO,2780220,0.481569803828474,0.43251397371431,0.085916222457216,9
CT,1644920,0.545663010967099,0.409269143788148,0.04347749434623,7
DC,312575,0.904838838678717,0.040703831080541,0.033499160201552,3
DE,441590,0.533533368056342,0.419228243393193,0.047238388550465,3
FL,9420039,0.47823315805805,0.490219414165907,0.031531185805069,29
GA,4114732,0.456399833573608,0.50771326054771,0.030453016138111,16
HI,437664,0.60980798055129,0.294397071726256,0.095794947722454,4
IA,1565580,0.417525134454962,0.511620613446774,0.059519155840008,6
ID,690255,0.274920138209792,0.592614323691969,0.132465538098239,4
IL,5536424,0.558253666987933,0.387617530738253,0.051729780811585,20
IN,2734958,0.37774839686752,0.569400334484113,0.04899270848035,11
KS,1184402,0.360523707322345,0.566545818058396,0.066626027311673,6
KY,1924149,0.326821883336478,0.625196385519001,0.047591428730312,8
LA,2029032,0.38449566098514,0.580886846535688,0.034617492479172,8
MA,3378821,0.590500650966713,0.322862027908551,0.085811589308815,11
MD,2781446,0.603257442351928,0.339093047285477,0.041543139791317,10
ME,771892,0.46345214097309,0.434766780844989,0.101781078181922,4
MI,4799284,0.472745309508668,0.474975642199962,0.05041314496079,16
MN,2944782,0.46445033961767,0.449251931042773,0.077045091962665,10
MO,2808605,0.381352308352367,0.567723478381617,0.048376329174092,10
MS,1209357,0.401147882717841,0.579410380888356,0.019441736393803,6
MT,494526,0.359352187751503,0.564661918685772,0.075985893562725,3
NC,4741564,0.461728661682095,0.498280946961804,0.027443687357167,15
ND,344360,0.27226739458706,0.629556278313393,0.097119293762342,3
NE,844227,0.336987563771355,0.587473511271258,0.056526266039821,5
NH,744296,0.468262626696906,0.464586669819534,0.050989122607135,4
NJ,3874046,0.554530844496942,0.413503866500294,0.031965289002764,14
NM,798319,0.482556471786341,0.400425143332427,0.117018384881232,5
NV,1125385,0.47917823678119,0.455006953176024,0.065814810042785,6
NY,7802084,0.583962438753543,0.361382164047452,0.053012759155118,29
OH,5496487,0.4355807627672,0.516876506757862,0.044574652864639,18
OK,1452992,0.289316802845439,0.653228648196274,0.057454548958288,7
OR,2001336,0.500718520028621,0.390940351844968,0.108341128126412,7
PA,6115402,0.478536161645629,0.48577885803746,0.035684980316911,20
RI,464144,0.544066065703747,0.388980574993967,0.046616998172981,4
SC,2103027,0.406734197896651,0.549393326856954,0.043872475246395,9
SD,370093,0.31737428159949,0.615307503789588,0.067318214610922,3
TN,2508027,0.347163327986501,0.607220336942146,0.040118387880194,11
TX,8969226,0.43235257981012,0.522346855793354,0.039585355525661,38
UT,1131317,0.27461268592269,0.455408165881004,0.269979148196306,6
VA,3982752,0.497513528334177,0.44427647013924,0.050207996882558,13
VT,320467,0.557227421232139,0.297593824013081,0.073723659534367,3
WA,3317019,0.525386800618266,0.368326801866375,0.073785829987709,12
WI,2976150,0.464538413722427,0.472181845673101,0.059117988004637,10
WV,713051,0.264769280177715,0.686305748116194,0.048924971706091,5
WY,258788,0.21628900876393,0.673984110546084,0.083048673045118,3
